month,date,farebox_revenue_hkdm,year,is_covid_period,immd_hsr_passenger_ratio,domestic_service_yield_hkd,domestic_service_rev_hkdm,cross_boundary_yield_hkd,cross_boundary_rev_hkdm,hsr_yield_hkd,hsr_rev_hkdm,airport_express_yield_hkd,airport_express_rev_hkdm,light_rail_bus_yield_hkd,light_rail_bus_rev_hkdm
2015-08,2015-08-01,1533.5902861743134,2015,0,,8.000742026391249,1068.2750768478124,31.98097731917491,328.4766180452455,124.87841376730266,0.0,61.14368384984391,81.68796162339146,2.8876187055795675,55.15062965786416
2015-09,2015-09-01,1483.0138611315615,2015,0,,8.000742026391249,1047.5531549994591,31.98097731917491,297.1352602724541,124.87841376730266,0.0,61.14368384984391,80.95423741719334,2.8876187055795675,57.371208442454844
2015-10,2015-10-01,1531.7253096560382,2015,0,,8.000742026391249,1081.868337550651,31.98097731917491,305.898048057908,124.87841376730266,0.0,61.14368384984391,85.47887002208178,2.8876187055795675,58.4800540253974
2015-11,2015-11-01,1508.1570688961024,2015,0,,8.000742026391249,1069.2991718271903,31.98097731917491,302.34815957547966,124.87841376730266,0.0,61.14368384984391,79.97593847559583,2.8876187055795675,56.53379901783677
2015-12,2015-12-01,1575.231111251766,2015,0,,8.000742026391249,1108.3027892058478,31.98097731917491,320.897126420601,124.87841376730266,0.0,61.14368384984391,89.20863473692226,2.8876187055795675,56.822560888394726
2016-01,2016-01-01,1572.6300444482918,2016,0,,8.212761690090616,1105.6923190985897,32.82847321813304,327.6609911901859,124.87841376730266,0.0,61.14368384984391,81.44338688799209,2.9641406012774256,57.833347271523856
2016-02,2016-02-01,1405.2258396590403,2016,0,,8.212761690090616,1005.5459030496247,32.82847321813304,276.4814014431165,124.87841376730266,0.0,61.14368384984391,70.80438589811925,2.9641406012774256,52.394149268179774
2016-03,2016-03-01,1525.3158161640213,2016,0,,8.212761690090616,1076.9640787066528,32.82847321813304,309.0144184022863,124.87841376730266,0.0,61.14368384984391,82.84969161653851,2.9641406012774256,56.4876274385439
2016-04,2016-04-01,1501.3978296877308,2016,0,,8.212761690090616,1050.157624550197,32.82847321813304,310.8856413757199,124.87841376730266,0.0,61.14368384984391,84.13370897738523,2.9641406012774256,56.22085478442894
2016-05,2016-05-01,1517.33034568281,2016,0,,8.212761690090616,1074.713782003568,32.82847321813304,307.1760239020709,124.87841376730266,0.0,61.14368384984391,77.04104165080332,2.9641406012774256,58.399498126367845
2016-06,2016-06-01,1473.8441218523508,2016,0,,8.212761690090616,1047.9319661321824,32.82847321813304,288.0698524891174,124.87841376730266,0.0,61.14368384984391,80.28165689484506,2.9641406012774256,57.56064633620633
2016-07,2016-07-01,1553.6750580703056,2016,0,,8.212761690090616,1087.0247117770136,32.82847321813304,322.80237715390217,124.87841376730266,0.0,61.14368384984391,85.35658265438211,2.9641406012774256,58.49138648500744
2016-08,2016-08-01,1550.529001329476,2016,0,,8.212761690090616,1092.4040706840233,32.82847321813304,319.6836721981795,124.87841376730266,0.0,61.14368384984391,81.74910530724131,2.9641406012774256,56.69215314003205
2016-09,2016-09-01,1542.0959225279394,2016,0,,8.212761690090616,1094.6790056721782,32.82847321813304,302.9739793301498,124.87841376730266,0.0,61.14368384984391,84.74514581588366,2.9641406012774256,59.697791709727355
2016-10,2016-10-01,1558.6871749390475,2016,0,,8.212761690090616,1098.4815143346902,32.82847321813304,313.380605340298,124.87841376730266,0.0,61.14368384984391,87.92461737607555,2.9641406012774256,58.90043788798373
2016-11,2016-11-01,1578.2055275613413,2016,0,,8.212761690090616,1136.5887285767108,32.82847321813304,302.1204390264784,124.87841376730266,0.0,61.14368384984391,80.77080636564381,2.9641406012774256,58.725553592508355
2016-12,2016-12-01,1646.130064043935,2016,0,,8.212761690090616,1159.535184738824,32.82847321813304,338.4287304057335,124.87841376730266,0.0,61.14368384984391,89.33092210462195,2.9641406012774256,58.83522679475563
2017-01,2017-01-01,1612.9289744259293,2017,0,,8.212761690090616,1136.1616649688258,32.82847321813304,336.3933650662093,124.87841376730266,0.0,61.14368384984391,82.23825477804006,2.9641406012774256,58.13568961285415
2017-02,2017-02-01,1424.6646360322577,2017,0,,8.212761690090616,1033.6992501232555,32.82847321813304,265.746490700787,124.87841376730266,0.0,61.14368384984391,73.00555851671363,2.9641406012774256,52.21333669150186
2017-03,2017-03-01,1599.7071761740963,2017,0,,8.212761690090616,1158.1800790599589,32.82847321813304,299.16587643684636,124.87841376730266,0.0,61.14368384984391,83.64455950658646,2.9641406012774256,58.716661170704526
2017-04,2017-04-01,1512.8592358320539,2017,0,,8.212761690090616,1043.8912873806578,32.82847321813304,325.62562585066166,124.87841376730266,0.0,61.14368384984391,88.90291631767305,2.9641406012774256,54.4394062830612
2017-05,2017-05-01,1534.3758997527893,2017,0,,8.212761690090616,1096.2476431549856,32.82847321813304,299.2643618565008,124.87841376730266,0.0,61.14368384984391,80.83195004949366,2.9641406012774256,58.03194469180944
2017-06,2017-06-01,1500.2672261180344,2017,0,,8.212761690090616,1088.2566260305273,32.82847321813304,274.0192659517565,124.87841376730266,0.0,61.14368384984391,80.8930937333435,2.9641406012774256,57.09824040240705
2017-07,2017-07-01,1580.5364690031508,2017,0,,8.212761690090616,1127.012648446065,32.82847321813304,315.4487991530404,124.87841376730266,0.0,61.14368384984391,80.52623163024442,2.9641406012774256,57.54878977380122
2017-08,2017-08-01,1555.0585461340906,2017,0,,8.212761690090616,1107.2281055346366,32.82847321813304,306.05985581265435,124.87841376730266,0.0,61.14368384984391,86.15145054443008,2.9641406012774256,55.61913424236961
2017-09,2017-09-01,1589.6851660692842,2017,0,,8.212761690090616,1144.1691076166644,32.82847321813304,299.16587643684636,124.87841376730266,0.0,61.14368384984391,86.15145054443008,2.9641406012774256,60.19873147134324
2017-10,2017-10-01,1636.4024422920952,2017,0,,8.212761690090616,1161.0791839365609,32.82847321813304,319.35538746599826,124.87841376730266,0.0,61.14368384984391,95.56757785730603,2.9641406012774256,60.4002930322301
