model_version,model_id,entity_id,target_id,period_type,target_year,period_label,target_period_start,target_period_end,forecast_origin,information_cutoff,target_volume_mn,anchor_year,anchor_period_type,anchor_release_date,anchor_actual_status,anchor_volume_mn,anchor_actual_value_hkdm,anchor_yield_hkd_per_passenger,fam_factor,predicted_value_hkdm,actual_value_hkdm,error_hkdm,error_pct,absolute_error_pct,actual_status,actual_available_at,actual_source_url,actual_definition,evaluation_status,pit_grade,model_applied,has_prediction,has_actual,chronological_training_periods,input_bundle_id,source_snapshot,source_snapshot_sha256,source_caveat
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2010,2010 H1,2010-01-01,2010-06-30,2010-06-30,2010-06-30,773.391,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2010,2010 H2,2010-07-01,2010-12-31,2010-12-31,2010-12-31,835.0690000000001,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2011,2011 H1,2011-01-01,2011-06-30,2011-06-30,2011-06-30,815.4040000000001,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2011,2011 H2,2011-07-01,2011-12-31,2011-12-31,2011-12-31,875.896,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2012,2012 H1,2012-01-01,2012-06-30,2012-06-30,2012-06-30,852.4290000000001,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2012,2012 H2,2012-07-01,2012-12-31,2012-12-31,2012-12-31,918.213,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2013,2013 H1,2013-01-01,2013-06-30,2013-06-30,2013-06-30,883.098,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2013,2013 H2,2013-07-01,2013-12-31,2013-12-31,2013-12-31,940.3050000000001,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H1,2014,2014 H1,2014-01-01,2014-06-30,2014-06-30,2014-06-30,909.4329999999999,,H1,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
mtr_half_year_walk_forward_oos_v1,mtr_prior_same_half_yield_walk_forward_v1,MTR,transport_operations_revenue_half_year,H2,2014,2014 H2,2014-07-01,2014-12-31,2014-12-31,2014-12-31,995.2,,H2,,,,,,,,,,,,not_available,,,,insufficient_prior_same_half_actual,D_diagnostic_only,False,False,False,0,mtr_half_year_walk_forward_oos_v1-b40bbafcbf788567,data/raw/hk_transport/mtr_patronage_20260812_223726.json,1f5f7b13236ccd20492dffde8ec8ce05331995a998b378f0db66a778b17031f2,no_prior_same_half_actual_available; h2_actual_is_official_fy_minus_h1; patronage_vintage_not_captured
