dataset_id,source_url,source_run_id,scraped_at,snapshot_ts,model_id,model_name,created_at,context_length,architecture,pricing_prompt,pricing_completion,top_provider_id,instance_type_name,gpu_type,gpu_count,region,availability_zone,instance_type,product_description,spot_price,price_timestamp
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2c,p5.48xlarge,Linux/UNIX,12.8193,2026-04-14T23:46:50+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2b,p5en.48xlarge,Linux/UNIX,10.7148,2026-04-15T00:17:31+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2a,p5e.48xlarge,Linux/UNIX,15.1761,2026-04-15T00:17:38+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2d,p5.48xlarge,Linux/UNIX,6.331,2026-04-15T00:17:43+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2b,p6-b200.48xlarge,Linux/UNIX,57.4322,2026-04-15T00:18:28+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2a,p5en.48xlarge,Linux/UNIX,10.4877,2026-04-15T00:47:03+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2b,p5e.48xlarge,Linux/UNIX,23.1077,2026-04-15T01:01:38+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2a,p6-b200.48xlarge,Linux/UNIX,29.6882,2026-04-15T01:02:18+00:00
raw_aws_spot_price_history,aws-ec2://us-east-1/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-1,us-east-1b,p5.48xlarge,Linux/UNIX,18.5231,2026-04-15T01:05:50+00:00
raw_aws_spot_price_history,aws-ec2://us-east-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-east-2,us-east-2a,p5.48xlarge,Linux/UNIX,11.9482,2026-04-15T01:16:29+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2d,p6-b200.48xlarge,Linux/UNIX,21.7575,2026-04-15T01:17:29+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2a,p5en.48xlarge,Linux/UNIX,18.1504,2026-04-15T01:32:29+00:00
raw_aws_spot_price_history,aws-ec2://us-west-2/DescribeSpotPriceHistory,20260415T225637Z-2a72037b,2026-04-15T22:56:37.109991Z,2026-04-15T22:56:37.109991Z,,,,,,,,,,,,us-west-2,us-west-2c,p5en.48xlarge,Linux/UNIX,18.945,2026-04-15T02:17:35+00:00
