registry_version,doc_id,path,topic_key,classification,canonical_path,reason
asia_backtest_registry_v2,asia-markets-hk-stablecoin-crypto,docs/asia-markets/asia-markets-hk-stablecoin-crypto.md,asia-markets-hk-stablecoin-crypto,unclassified,docs/asia-markets/asia-markets-hk-stablecoin-crypto.md,Requires later topic-level review.
asia_backtest_registry_v2,asia-markets-korean-semiconductor-alt-data 2,docs/asia-markets/asia-markets-korean-semiconductor-alt-data 2.md,asia-markets-korean-semiconductor-alt-data,numbered_copy,docs/asia-markets/asia-markets-korean-semiconductor-alt-data.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,asia-markets-korean-semiconductor-alt-data 3,docs/asia-markets/asia-markets-korean-semiconductor-alt-data 3.md,asia-markets-korean-semiconductor-alt-data,numbered_copy,docs/asia-markets/asia-markets-korean-semiconductor-alt-data.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,asia-markets-korean-semiconductor-alt-data 4,docs/asia-markets/asia-markets-korean-semiconductor-alt-data 4.md,asia-markets-korean-semiconductor-alt-data,numbered_copy,docs/asia-markets/asia-markets-korean-semiconductor-alt-data.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,asia-markets-korean-semiconductor-alt-data,docs/asia-markets/asia-markets-korean-semiconductor-alt-data.md,asia-markets-korean-semiconductor-alt-data,unclassified,docs/asia-markets/asia-markets-korean-semiconductor-alt-data.md,Requires later topic-level review.
asia_backtest_registry_v2,DATA_CATALOG,docs/asia-markets/DATA_CATALOG.md,data_catalog,unclassified,docs/asia-markets/DATA_CATALOG.md,Requires later topic-level review.
asia_backtest_registry_v2,hk-airlines-data-quality-audit 2,docs/asia-markets/hk-airlines-data-quality-audit 2.md,hk-airlines-data-quality-audit,numbered_copy,docs/asia-markets/hk-airlines-data-quality-audit.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-data-quality-audit 3,docs/asia-markets/hk-airlines-data-quality-audit 3.md,hk-airlines-data-quality-audit,numbered_copy,docs/asia-markets/hk-airlines-data-quality-audit.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-data-quality-audit 4,docs/asia-markets/hk-airlines-data-quality-audit 4.md,hk-airlines-data-quality-audit,numbered_copy,docs/asia-markets/hk-airlines-data-quality-audit.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-data-quality-audit,docs/asia-markets/hk-airlines-data-quality-audit.md,hk-airlines-data-quality-audit,unclassified,docs/asia-markets/hk-airlines-data-quality-audit.md,Requires later topic-level review.
asia_backtest_registry_v2,hk-airlines-long-short-data-plan 2,docs/asia-markets/hk-airlines-long-short-data-plan 2.md,hk-airlines-long-short-data-plan,numbered_copy,docs/asia-markets/hk-airlines-long-short-data-plan.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-long-short-data-plan 3,docs/asia-markets/hk-airlines-long-short-data-plan 3.md,hk-airlines-long-short-data-plan,numbered_copy,docs/asia-markets/hk-airlines-long-short-data-plan.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-long-short-data-plan 4,docs/asia-markets/hk-airlines-long-short-data-plan 4.md,hk-airlines-long-short-data-plan,numbered_copy,docs/asia-markets/hk-airlines-long-short-data-plan.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-long-short-data-plan,docs/asia-markets/hk-airlines-long-short-data-plan.md,hk-airlines-long-short-data-plan,unclassified,docs/asia-markets/hk-airlines-long-short-data-plan.md,Requires later topic-level review.
asia_backtest_registry_v2,hk-airlines-pair-thesis-inputs 2,docs/asia-markets/hk-airlines-pair-thesis-inputs 2.md,hk-airlines-pair-thesis-inputs,numbered_copy,docs/asia-markets/hk-airlines-pair-thesis-inputs.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-pair-thesis-inputs 3,docs/asia-markets/hk-airlines-pair-thesis-inputs 3.md,hk-airlines-pair-thesis-inputs,numbered_copy,docs/asia-markets/hk-airlines-pair-thesis-inputs.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-pair-thesis-inputs 4,docs/asia-markets/hk-airlines-pair-thesis-inputs 4.md,hk-airlines-pair-thesis-inputs,numbered_copy,docs/asia-markets/hk-airlines-pair-thesis-inputs.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-pair-thesis-inputs 5,docs/asia-markets/hk-airlines-pair-thesis-inputs 5.md,hk-airlines-pair-thesis-inputs,numbered_copy,docs/asia-markets/hk-airlines-pair-thesis-inputs.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-pair-thesis-inputs,docs/asia-markets/hk-airlines-pair-thesis-inputs.md,hk-airlines-pair-thesis-inputs,unclassified,docs/asia-markets/hk-airlines-pair-thesis-inputs.md,Requires later topic-level review.
asia_backtest_registry_v2,hk-airlines-research-pack-manifest 2,docs/asia-markets/hk-airlines-research-pack-manifest 2.md,hk-airlines-research-pack-manifest,numbered_copy,docs/asia-markets/hk-airlines-research-pack-manifest.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-research-pack-manifest 3,docs/asia-markets/hk-airlines-research-pack-manifest 3.md,hk-airlines-research-pack-manifest,numbered_copy,docs/asia-markets/hk-airlines-research-pack-manifest.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-research-pack-manifest 4,docs/asia-markets/hk-airlines-research-pack-manifest 4.md,hk-airlines-research-pack-manifest,numbered_copy,docs/asia-markets/hk-airlines-research-pack-manifest.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-research-pack-manifest,docs/asia-markets/hk-airlines-research-pack-manifest.md,hk-airlines-research-pack-manifest,unclassified,docs/asia-markets/hk-airlines-research-pack-manifest.md,Requires later topic-level review.
asia_backtest_registry_v2,hk-airlines-sector-map 2,docs/asia-markets/hk-airlines-sector-map 2.md,hk-airlines-sector-map,numbered_copy,docs/asia-markets/hk-airlines-sector-map.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
asia_backtest_registry_v2,hk-airlines-sector-map 3,docs/asia-markets/hk-airlines-sector-map 3.md,hk-airlines-sector-map,numbered_copy,docs/asia-markets/hk-airlines-sector-map.md,Numbered duplicate; keep for history but use the unsuffixed file as canonical.
