dataset_id,company,target_year,ask_mn,operating_cost_actual_native_mn,cask_prior,cask_anchor,shrink_lambda,fuel_price_usd_per_gallon,fuel_price_ratio,cost_flat_ask_native_mn,cost_fuel_mechanical_native_mn,cost_nonfuel_drivers_native_mn,cost_company_shrink_native_mn,cost_full_cask_native_mn,error_flat_ask_pct,error_fuel_mechanical_pct,error_nonfuel_drivers_pct,error_company_shrink_pct,error_full_cask_pct,retrieved_at,revenue_error_pct,ebit_error_contribution_revenue_pct,ebit_error_contribution_cost_pct,ebit_error_directional_pct
airline_cost_engine_v2,China Eastern Airlines,2024,296909.20000000007,142681.0,0.5204903983161693,0.43263110160548734,0.7375349411826613,2.337798013245033,0.8659939032481729,154538.3877717352,147537.2187767815,139643.20331687055,148823.93564308962,150628.92230769404,8.310418185837776,3.403549720552479,-2.129082837329044,4.305363463313006,5.5704139357686255,2026-08-10T20:59:51.131613+00:00,4.413127128364613,4.413127128364613,5.5704139357686255,-1.1572868074040121
airline_cost_engine_v2,China Eastern Airlines,2025,316928.36000000004,147366.0,0.4805543243523608,0.43263110160548734,0.8113827506732066,2.1148900000000004,0.9046504394382558,152301.2939079018,147696.42806392707,139447.7480371583,149436.53204662894,149876.89344166638,3.3490044568637245,0.22422272703817026,-5.373187820013903,1.4050269713698826,1.703848541499653,2026-08-10T20:59:51.131613+00:00,0.5171151966282928,0.5171151966282928,1.703848541499653,-1.1867333448713602
airline_cost_engine_v2,China Southern Airlines,2020,214794.21,107830.0,0.4528256060874438,0.4238290796537817,0.8452675093321131,1.100358552631579,0.5858333675452281,97264.31832732368,86525.06155985738,68536.95594510922,94133.46480582793,92819.26199560468,-9.798462090954574,-19.75789524264363,-36.439807154679386,-12.701970874684287,-13.920743767407318,2026-08-10T20:59:51.131613+00:00,2.900773680824864,2.900773680824864,-13.920743767407318,16.821517448232182
airline_cost_engine_v2,China Southern Airlines,2021,213932.9,117671.0,0.5020153941765935,0.4238290796537817,0.7524191599374337,1.8565493421052635,1.6872221674155259,107397.60912084175,117795.02443073409,87028.5766505442,102376.98213713449,102354.6269505838,-8.730605569051209,0.10539931736288644,-26.04076055226504,-12.997270238942061,-13.016268281408506,2026-08-10T20:59:51.131613+00:00,-6.258666571334159,-6.258666571334159,-13.016268281408506,6.757601710074346
airline_cost_engine_v2,China Southern Airlines,2022,153885.00999999995,123846.0,0.5500369508383236,0.4238290796537817,0.6617759096895591,3.3740996677740864,1.81740371303462,84642.4416801249,99651.58308780837,73128.64354678875,82285.88426169944,80748.19778045925,-31.655086413671086,-19.535888855668837,-40.951953598187465,-33.55789911527265,-34.799510859891114,2026-08-10T20:59:51.131613+00:00,-17.50689653422326,-17.50689653422326,-34.799510859891114,17.292614325667856
airline_cost_engine_v2,China Southern Airlines,2023,316221.57999999996,165425.0,0.8047957367647443,0.4238290796537817,0.5,2.6995548172757475,0.800081527839591,254493.7794570115,240784.3694372429,181018.81732708018,200200.18708286175,217756.29839204584,53.84239350582529,45.55500646047628,9.426517955012947,21.021724094218985,31.63445573041912,2026-08-10T20:59:51.131613+00:00,5.369455460345773,5.369455460345773,31.63445573041912,-26.265000270073347
airline_cost_engine_v2,China Southern Airlines,2024,362924.2899999999,178586.0,0.5231300153518935,0.4238290796537817,0.7125641859605689,2.337798013245033,0.8659939032481729,189856.58939927502,181418.401847046,164659.07076595761,180992.2808158653,182613.9201191337,6.311015084763105,1.5860156154715366,-7.798444018031869,1.3474073084482008,2.255451221895166,2026-08-10T20:59:51.131613+00:00,5.3147740711706914,5.3147740711706914,2.255451221895166,3.0593228492755253
airline_cost_engine_v2,China Southern Airlines,2025,386260.92999999993,181796.0,0.49207508265704686,0.4238290796537817,0.771182028266651,2.1148900000000004,0.9046504394382558,190069.37905693776,184535.58627133566,166322.880868521,184037.56237038277,184635.7535056946,4.550913692786285,1.5069562979029616,-8.511253895288673,1.233009730897705,1.5620549988418775,2026-08-10T20:59:51.131613+00:00,1.1973293742522315,1.1973293742522315,1.5620549988418775,-0.36472562458964597
airline_cost_engine_v2,Hainan Airlines Holdings,2020,76962.91,50699.425,0.4395089617395895,0.39383787567816153,0.807228656496716,1.100358552631579,0.5858333675452281,33825.88866655747,30282.980247760453,21186.498631956616,32257.59877579734,31389.376468525443,-33.28151420542251,-40.26957850555415,-58.21156032448768,-36.374823233602086,-38.087312689393535,2026-08-10T20:59:51.131613+00:00,7.184617095730617,7.184617095730617,-38.087312689393535,45.27192978512415
airline_cost_engine_v2,Hainan Airlines Holdings,2021,83835.66,46088.506,0.6587514037605907,0.39383787567816153,0.5,1.8565493421052635,1.6872221674155259,55226.85871019561,58978.34523858941,32520.29818245516,43481.440370091106,43873.57844632538,19.827834536870448,27.96757881149241,-29.43946114795919,-5.656650336873348,-4.8058133055443815,2026-08-10T20:59:51.131613+00:00,-1.387587062543283,-1.387587062543283,-4.8058133055443815,3.4182262430010986
airline_cost_engine_v2,Hainan Airlines Holdings,2022,49526.17,48848.635,0.5497482336275518,0.39383787567816153,0.5833004287748131,3.3740996677740864,1.81740371303462,27226.924475837845,31674.476804417027,21072.403368016883,25547.116398566814,24662.33816911249,-44.26267084875997,-35.15790808808266,-56.86183786298864,-47.7014733399064,-49.51273834138357,2026-08-10T20:59:51.131613+00:00,-12.816466779738567,-12.816466779738567,-49.51273834138357,36.696271561645
airline_cost_engine_v2,Hainan Airlines Holdings,2023,125546.03,60815.461,0.9863196568602015,0.39383787567816153,0.5,2.6995548172757475,0.800081527839591,123828.51722976056,118817.14069005901,73976.09744564377,88808.46619718353,98902.30733770216,103.61354693958589,95.37324676377771,21.64028066093877,46.0294220201398,62.62691380026233,2026-08-10T20:59:51.131613+00:00,-4.001923202823909,-4.001923202823909,62.62691380026233,-66.62883700308623
airline_cost_engine_v2,Hainan Airlines Holdings,2024,148338.97999999998,68965.224,0.4844076790002838,0.39383787567816153,0.7160262200964448,2.337798013245033,0.8659939032481729,71856.5410070695,68681.0183415777,63199.47427214791,68596.99554216265,69398.16104347649,4.192427486452455,-0.4120999569613537,-8.360372653690051,-0.5339335341495444,0.6277613822823103,2026-08-10T20:59:51.131613+00:00,3.681634902295605,3.681634902295605,0.6277613822823103,3.053873520013295
airline_cost_engine_v2,Hainan Airlines Holdings,2025,160504.02,69185.002,0.46491639621628794,0.39383787567816153,0.755618720437725,2.1148900000000004,0.9046504394382558,74620.950556627,72503.78502149328,64591.47037454815,71832.95403052324,72169.9333563861,7.857119895186249,4.796968888565312,-6.639490485888599,3.8273497925507716,4.314419700943439,2026-08-10T20:59:51.131613+00:00,2.6122467078887546,2.6122467078887546,4.314419700943439,-1.7021729930546847
airline_cost_engine_v2,Juneyao Airlines,2020,31166.7184,11582.93722256,0.39046371985373374,0.343937558416124,0.7917799808735781,1.100358552631579,0.5858333675452281,12169.47280209781,10908.426002279786,8214.265747797675,11525.100068591895,11345.919513602475,5.063789678454089,-5.823317586203203,-29.083050439064696,-0.49933063485361195,-2.0462660239225605,2026-08-10T20:59:51.131613+00:00,25.37698580327421,25.37698580327421,-2.0462660239225605,27.42325182719677
airline_cost_engine_v2,Juneyao Airlines,2021,36180.9224,13343.94269657,0.37164442768411576,0.343937558416124,0.8355537222614816,1.8565493421052635,1.6872221674155259,13446.438198431406,14869.474304370546,12638.684490055057,13201.640520724995,13313.60610775943,0.7681050810248946,11.432390279918359,-5.285231078639352,-1.0664177678279652,-0.2273435183318684,2026-08-10T20:59:51.131613+00:00,10.89770039459237,10.89770039459237,-0.2273435183318684,11.125043912924237
airline_cost_engine_v2,Juneyao Airlines,2022,23199.2457,14242.93891616,0.36881156729630526,0.343937558416124,0.8421429657296419,3.3740996677740864,1.81740371303462,8556.15016670907,10387.291509948513,8524.876035738094,8704.90803360796,8551.21332514461,-39.92707392010727,-27.07058865384081,-40.146650309187294,-38.8826415331221,-39.96173559768324,2026-08-10T20:59:51.131613+00:00,-0.6133381848536956,-0.6133381848536956,-39.96173559768324,39.34839741282954
airline_cost_engine_v2,Juneyao Airlines,2023,47740.5691,19999.5750022,0.6139397418494515,0.343937558416124,0.5,2.6995548172757475,0.800081527839591,29309.832668999905,27634.876971498303,23778.75008040568,23590.691455922173,26544.291374702792,46.55227756477702,38.177321110365604,18.896276934834688,17.955963830867127,32.724277249805844,2026-08-10T20:59:51.131613+00:00,-11.58215972218052,-11.58215972218052,32.724277249805844,-44.306436971986365
airline_cost_engine_v2,Juneyao Airlines,2024,56013.51950000001,21811.30428827,0.41892200657071765,0.343937558416124,0.7255859034415281,2.337798013245033,0.8659939032481729,23465.295984028024,22411.359421061854,21049.93520298703,22490.926672306807,22802.486937435893,7.583185644920509,2.751119900310406,-3.4907086491495543,3.115918126924222,4.5443529468292665,2026-08-10T20:59:51.131613+00:00,6.379111645164004,6.379111645164004,4.5443529468292665,1.8347586983347375
airline_cost_engine_v2,Juneyao Airlines,2025,57178.0275,22283.10169113,0.38939356931981384,0.343937558416124,0.7942691548709702,2.1148900000000004,0.9046504394382558,22264.75621489147,21601.838306043996,19804.714049089285,21730.04425274321,21758.64966106794,-0.08232909624890095,-3.0573095008455953,-11.12227407294587,-2.4819589572978473,-2.3535863064827467,2026-08-10T20:59:51.131613+00:00,0.3704744653968195,0.3704744653968195,-2.3535863064827467,2.724060771879566
airline_cost_engine_v2,Spring Airlines,2020,37841.699,10542.065373,0.3159764542464588,0.3003152248295516,0.8582805582346457,1.100358552631579,0.5858333675452281,11957.085872681766,10552.962001474403,9148.797331866506,11613.579595338131,11559.096788361385,13.42261169529333,0.10336331723299619,-13.216272066590351,10.164177363977078,9.64736395930701,2026-08-10T20:59:51.131613+00:00,34.41532992251091,34.41532992251091,9.64736395930701,24.7679659632039
airline_cost_engine_v2,Spring Airlines,2021,41481.3743,12180.349508,0.2785832996821839,0.3003152248295516,0.8421090285124188,1.8565493421052635,1.6872221674155259,11556.018127845744,13052.198970286476,12248.403139762164,11617.646689451742,11665.339470020668,-5.125726316344181,7.157836166473297,0.5587165763795809,-4.619759212809759,-4.228204105646349,2026-08-10T20:59:51.131613+00:00,10.336340461982129,10.336340461982129,-4.228204105646349,14.564544567628477
airline_cost_engine_v2,Spring Airlines,2022,30353.8001,12726.498672,0.2936341843428268,0.3003152248295516,0.8822025926510606,3.3740996677740864,1.81740371303462,8912.913334068715,11110.043272516108,10322.341004993767,9151.558606681569,9078.940259549541,-29.96570727125194,-12.701493483359327,-18.890959162991948,-28.090523226028996,-28.661130657056333,2026-08-10T20:59:51.131613+00:00,2.33247692189813,2.33247692189813,-28.661130657056333,30.993607578954464
airline_cost_engine_v2,Spring Airlines,2023,47466.865699999995,16421.280214,0.4192720064727579,0.3003152248295516,0.5831148824753135,2.6995548172757475,0.800081527839591,19901.528023011928,18374.31029473737,17604.820258224037,18099.424263275992,18944.064736568467,21.19352306067366,11.893287583463263,7.207355509438362,10.219325335215279,15.362897957356969,2026-08-10T20:59:51.131613+00:00,-12.503921697524746,-12.503921697524746,15.362897957356969,-27.866819654881716
airline_cost_engine_v2,Spring Airlines,2024,55093.478299999995,18399.375676,0.3459524864731062,0.3003152248295516,0.778428376931055,2.337798013245033,0.8659939032481729,19059.72580633712,18109.08496083639,17801.358138744912,18632.41435047659,18780.907239811233,3.588981180478168,-1.577720463321275,-3.2502055927644102,1.2665575103211868,2.0736114666591643,2026-08-10T20:59:51.131613+00:00,2.809650508903494,2.809650508903494,2.0736114666591643,0.7360390422443297
airline_cost_engine_v2,Spring Airlines,2025,61749.0019,19628.167005,0.3339664919286826,0.3003152248295516,0.8103574795630684,2.1148900000000004,0.9046504394382558,20622.097544640557,19965.566611486724,19108.923104583268,20228.03325327187,20335.13532996735,5.063797039159934,1.718956265252758,-2.645401887422605,3.056150113859668,3.601805124173141,2026-08-10T20:59:51.131613+00:00,2.717518282109066,2.717518282109066,3.601805124173141,-0.8842868420640748
