month,airline_code,airline_name,announcement_date,announcement_time,announcement_id,announcement_title,source_pdf_url,source_quality,retrieved_at
2021-10,600221,Hainan Airlines Holdings,2021-11-17,2021-11-17T00:00:00+08:00,1211603331,*ST海航：2021年10月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2021-11-17/1211603331.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-10,601021,Spring Airlines,2021-11-16,2021-11-16T00:00:00+08:00,1211586086,春秋航空2021年10月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2021-11-16/1211586086.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-10,601111,Air China,2021-11-16,2021-11-16T00:00:00+08:00,1211587136,中国国际航空股份有限公司2021年10月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2021-11-16/1211587136.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-10,603885,Juneyao Airlines,2021-11-16,2021-11-16T00:00:00+08:00,1211586522,上海吉祥航空股份有限公司2021年10月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2021-11-16/1211586522.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-11,600029,China Southern,2021-12-16,2021-12-16T00:00:00+08:00,1211920866,南方航空2021年11月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2021-12-16/1211920866.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-11,600115,China Eastern,2021-12-16,2021-12-16T00:00:00+08:00,1211921091,中国东航2021年11月运营数据公告,http://static.cninfo.com.cn/finalpage/2021-12-16/1211921091.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-11,600221,Hainan Airlines Holdings,2021-12-17,2021-12-17T00:00:00+08:00,1211932964,*ST海航：2021年11月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2021-12-17/1211932964.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-11,601021,Spring Airlines,2021-12-16,2021-12-16T00:00:00+08:00,1211920930,春秋航空2021年11月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2021-12-16/1211920930.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-11,601111,Air China,2021-12-16,2021-12-16T00:00:00+08:00,1211921660,中国国际航空股份有限公司2021年11月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2021-12-16/1211921660.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-11,603885,Juneyao Airlines,2021-12-16,2021-12-16T00:00:00+08:00,1211921128,上海吉祥航空股份有限公司2021年11月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2021-12-16/1211921128.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-12,600029,China Southern,2022-01-15,2022-01-15T00:00:00+08:00,1212189767,南方航空2021年12月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-01-15/1212189767.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-12,600115,China Eastern,2022-01-15,2022-01-15T00:00:00+08:00,1212191408,中国东方航空股份有限公司2021年12月运营数据公告,http://static.cninfo.com.cn/finalpage/2022-01-15/1212191408.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-12,600221,Hainan Airlines Holdings,2022-01-18,2022-01-18T00:00:00+08:00,1212201639,*ST海航：2021年12月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-01-18/1212201639.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-12,601021,Spring Airlines,2022-01-15,2022-01-15T00:00:00+08:00,1212188662, 春秋航空2021年12月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-01-15/1212188662.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-12,601111,Air China,2022-01-15,2022-01-15T00:00:00+08:00,1212189305,中国国际航空股份有限公司2021年12月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-01-15/1212189305.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2021-12,603885,Juneyao Airlines,2022-01-18,2022-01-18T00:00:00+08:00,1212199922,上海吉祥航空股份有限公司2021年12月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-01-18/1212199922.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-01,600029,China Southern,2022-02-15,2022-02-15T00:00:00+08:00,1212361401,南方航空2022年1月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-02-15/1212361401.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-01,600115,China Eastern,2022-02-16,2022-02-16T00:00:00+08:00,1212366379,中国东方航空股份有限公司2022年1月运营数据公告,http://static.cninfo.com.cn/finalpage/2022-02-16/1212366379.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-01,600221,Hainan Airlines Holdings,2022-02-17,2022-02-17T00:00:00+08:00,1212384829,*ST海航：2022年1月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-02-17/1212384829.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-01,601021,Spring Airlines,2022-02-16,2022-02-16T00:00:00+08:00,1212365686, 春秋航空2022年1月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-02-16/1212365686.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-01,601111,Air China,2022-02-16,2022-02-16T00:00:00+08:00,1212366536,中国国际航空股份有限公司2022年1月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-02-16/1212366536.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-01,603885,Juneyao Airlines,2022-02-16,2022-02-16T00:00:00+08:00,1212366284, 上海吉祥航空股份有限公司2022年1月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-02-16/1212366284.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-02,600029,China Southern,2022-03-16,2022-03-16T00:00:00+08:00,1212578585,南方航空2022年2月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-03-16/1212578585.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-02,600115,China Eastern,2022-03-16,2022-03-16T00:00:00+08:00,1212578385,中国东方航空股份有限公司2022年2月运营数据公告,http://static.cninfo.com.cn/finalpage/2022-03-16/1212578385.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-02,600221,Hainan Airlines Holdings,2022-03-17,2022-03-17T00:00:00+08:00,1212593339,*ST海航：2022年2月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-03-17/1212593339.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-02,601021,Spring Airlines,2022-03-16,2022-03-16T00:00:00+08:00,1212578012,春秋航空2022年2月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-03-16/1212578012.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-02,601111,Air China,2022-03-16,2022-03-16T00:00:00+08:00,1212578670,中国国际航空股份有限公司2022年2月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-03-16/1212578670.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-02,603885,Juneyao Airlines,2022-03-16,2022-03-16T00:00:00+08:00,1212578856,上海吉祥航空股份有限公司2022年2月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-03-16/1212578856.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-03,600029,China Southern,2022-04-15,2022-04-15T00:00:00+08:00,1212920544,南方航空2022年3月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-04-15/1212920544.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-03,600115,China Eastern,2022-04-15,2022-04-15T00:00:00+08:00,1212925161,中国东方航空股份有限公司2022年3月运营数据公告（修订版）,http://static.cninfo.com.cn/finalpage/2022-04-15/1212925161.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-03,600221,Hainan Airlines Holdings,2022-04-16,2022-04-16T00:00:00+08:00,1212942650,*ST海航：2022年3月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-04-16/1212942650.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-03,601021,Spring Airlines,2022-04-16,2022-04-16T00:00:00+08:00,1212943438,春秋航空2022年3月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-04-16/1212943438.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-03,601111,Air China,2022-04-15,2022-04-15T00:00:00+08:00,1212921278,中国国际航空股份有限公司2022年3月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-04-15/1212921278.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-03,603885,Juneyao Airlines,2022-04-15,2022-04-15T00:00:00+08:00,1212921911,上海吉祥航空股份有限公司2022年3月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-04-15/1212921911.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-04,600029,China Southern,2022-05-14,2022-05-14T00:00:00+08:00,1213354957,南方航空2022年4月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-05-14/1213354957.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-04,600115,China Eastern,2022-05-17,2022-05-17T00:00:00+08:00,1213367784,中国东方航空股份有限公司2022年4月运营数据公告,http://static.cninfo.com.cn/finalpage/2022-05-17/1213367784.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-04,600221,Hainan Airlines Holdings,2022-05-17,2022-05-17T00:00:00+08:00,1213370247,*ST海航：2022年4月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-05-17/1213370247.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-04,601021,Spring Airlines,2022-05-17,2022-05-17T00:00:00+08:00,1213365941,春秋航空2022年4月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-05-17/1213365941.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-04,601111,Air China,2022-05-14,2022-05-14T00:00:00+08:00,1213354819,中国国际航空股份有限公司2022年4月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-05-14/1213354819.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-04,603885,Juneyao Airlines,2022-05-14,2022-05-14T00:00:00+08:00,1213355288,上海吉祥航空股份有限公司2022年4月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-05-14/1213355288.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-05,600029,China Southern,2022-06-15,2022-06-15T00:00:00+08:00,1213704417,南方航空2022年5月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-06-15/1213704417.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-05,600115,China Eastern,2022-06-16,2022-06-16T00:00:00+08:00,1213721023,中国东航2022年5月运营数据公告,http://static.cninfo.com.cn/finalpage/2022-06-16/1213721023.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-05,600221,Hainan Airlines Holdings,2022-06-17,2022-06-17T00:00:00+08:00,1213732239,ST海航：2022年5月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-06-17/1213732239.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-05,601021,Spring Airlines,2022-06-16,2022-06-16T00:00:00+08:00,1213719830,春秋航空2022年5月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-06-16/1213719830.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-05,601111,Air China,2022-06-16,2022-06-16T00:00:00+08:00,1213720437,中国国际航空股份有限公司2022年5月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-06-16/1213720437.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-05,603885,Juneyao Airlines,2022-06-16,2022-06-16T00:00:00+08:00,1213720358,上海吉祥航空股份有限公司2022年5月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-06-16/1213720358.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-06,600029,China Southern,2022-07-16,2022-07-16T00:00:00+08:00,1214055998,南方航空2022年6月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-07-16/1214055998.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
