dataset_id,company,ticker,market,event_date,event_type,estimate_metric,fiscal_year,institution,prior_event_date,current_value_native,prior_value_native,change_native,change_pct,direction,rating,previous_rating,target_price_low_native,target_price_high_native,source_quality,source_url,information_scope,source_note,retrieved_at
airline_consensus_events,Spring Airlines,601021.SH,CN_A,2026-04-14,rating_event,rating,,中信证券,,,,,,maintain_or_new,买入,买入,61.0,61.0,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Spring Airlines,601021.SH,CN_A,2026-04-14,rating_event,rating,,国信证券,,,,,,unknown,买入,不评级,,,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Spring Airlines,601021.SH,CN_A,2026-04-14,rating_event,rating,,国联民生证券,,,,,,maintain_or_new,增持,增持,,,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Spring Airlines,601021.SH,CN_A,2026-04-16,rating_event,rating,,长江证券,,,,,,unknown,买入,不评级,,,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Spring Airlines,601021.SH,CN_A,2026-04-17,rating_event,rating,,国海证券,,,,,,unknown,买入,不评级,,,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Spring Airlines,601021.SH,CN_A,2026-04-22,rating_event,rating,,兴业证券,,,,,,unknown,买入,不评级,,,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Juneyao Airlines,603885.SH,CN_A,2026-04-23,rating_event,rating,,中金,,,,,,maintain_or_new,增持,增持,14.5,14.5,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Juneyao Airlines,603885.SH,CN_A,2026-04-23,rating_event,rating,,华泰证券,,,,,,maintain_or_new,买入,买入,15.65,15.65,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Juneyao Airlines,603885.SH,CN_A,2026-04-23,rating_event,rating,,国海证券,,,,,,unknown,增持,不评级,,,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Juneyao Airlines,603885.SH,CN_A,2026-04-24,rating_event,rating,,华创证券,,,,,,unknown,买入,不评级,16.7,16.7,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Juneyao Airlines,603885.SH,CN_A,2026-04-24,rating_event,rating,,广发证券,,,,,,maintain_or_new,增持,增持,14.17,14.17,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Juneyao Airlines,603885.SH,CN_A,2026-04-24,rating_event,rating,,申万宏源证券,,,,,,maintain_or_new,买入,买入,,,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Juneyao Airlines,603885.SH,CN_A,2026-04-27,rating_event,rating,,中信证券,,,,,,maintain_or_new,买入,买入,16.0,16.0,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Juneyao Airlines,603885.SH,CN_A,2026-04-27,rating_event,rating,,长江证券,,,,,,unknown,买入,不评级,,,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,China Southern Airlines,01055.HK / 600029.SH,CN_A,2026-04-29,rating_event,rating,,兴业证券,,,,,,unknown,增持,不评级,,,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Air China,0753.HK / 601111.SH,CN_A,2026-04-30,rating_event,rating,,华泰证券,,,,,,maintain_or_new,买入,买入,8.85,8.85,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,Air China,0753.HK / 601111.SH,CN_A,2026-04-30,rating_event,rating,,国金证券,,,,,,maintain_or_new,买入,买入,,,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,China Eastern Airlines,0670.HK / 600115.SH,CN_A,2026-04-30,rating_event,rating,,中金,,,,,,maintain_or_new,增持,增持,5.9,5.9,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,China Eastern Airlines,0670.HK / 600115.SH,CN_A,2026-04-30,rating_event,rating,,华泰证券,,,,,,maintain_or_new,买入,买入,5.9,5.9,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
airline_consensus_events,China Eastern Airlines,0670.HK / 600115.SH,CN_A,2026-04-30,rating_event,rating,,国信证券,,,,,,unknown,买入,不评级,,,cninfo_discovery,https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7,queried_public_report_dates,Unified dated Cninfo investment-rating event. This is queried-date coverage and does not imply a complete daily rating or estimate history.,2026-08-07T15:33:02.185688+00:00
