dataset_id,release_id,source_organization,release_family,release_title,reference_period,source_url,metric,metric_cn,value,unit,yoy_pct,scope,source_release_date,source_release_date_status,point_in_time_status,source_quality,source_note,raw_snapshot_path,retrieved_at
airline_nbs_demand,202603_20260304,National Bureau of Statistics,pmi,2026年2月中国采购经理指数运行情况,2026-02,https://www.stats.gov.cn/sj/zxfb/202603/t20260304_1962699.html,services_business_activity_index,服务业商务活动指数,49.7,pct,,national,2026-03-04,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202603_20260304_20260810_120222.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202603_20260316,National Bureau of Statistics,monthly_economy,2026年1—2月份社会消费品零售总额增长2.8%,2026-01-02,https://www.stats.gov.cn/sj/zxfb/202603/t20260316_1962786.html,retail_sales_consumer_goods,社会消费品零售总额,86079.0,亿元,2.8,ytd_jan_feb,2026-03-16,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202603_20260316_20260810_120227.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202603_20260331,National Bureau of Statistics,pmi,2026年3月中国采购经理指数运行情况,2026-03,https://www.stats.gov.cn/sj/zxfb/202603/t20260331_1962889.html,manufacturing_pmi,制造业采购经理指数,50.4,pct,,national,2026-03-31,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202603_20260331_20260810_120234.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202603_20260331,National Bureau of Statistics,pmi,2026年3月中国采购经理指数运行情况,2026-03,https://www.stats.gov.cn/sj/zxfb/202603/t20260331_1962889.html,non_manufacturing_pmi,非制造业商务活动指数,50.1,pct,,national,2026-03-31,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202603_20260331_20260810_120234.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202603_20260331,National Bureau of Statistics,pmi,2026年3月中国采购经理指数运行情况,2026-03,https://www.stats.gov.cn/sj/zxfb/202603/t20260331_1962889.html,services_business_activity_index,服务业商务活动指数,50.2,pct,,national,2026-03-31,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202603_20260331_20260810_120234.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202604_20260416,National Bureau of Statistics,monthly_economy,2026年3月份社会消费品零售总额增长1.7%,2026-03,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963325.html,retail_sales_consumer_goods,社会消费品零售总额,41616.0,亿元,1.7,month_3,2026-04-16,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202604_20260416_20260810_120243.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202604_20260416,National Bureau of Statistics,monthly_economy,2026年3月份社会消费品零售总额增长1.7%,2026-03,https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963325.html,retail_sales_consumer_goods,社会消费品零售总额,127695.0,亿元,2.4,ytd_jan_mar,2026-04-16,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202604_20260416_20260810_120243.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202604_20260430,National Bureau of Statistics,pmi,2026年4月中国采购经理指数运行情况,2026-04,https://www.stats.gov.cn/sj/zxfb/202604/t20260430_1963473.html,manufacturing_pmi,制造业采购经理指数,50.3,pct,,national,2026-04-30,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202604_20260430_20260810_120257.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202604_20260430,National Bureau of Statistics,pmi,2026年4月中国采购经理指数运行情况,2026-04,https://www.stats.gov.cn/sj/zxfb/202604/t20260430_1963473.html,non_manufacturing_pmi,非制造业商务活动指数,49.4,pct,,national,2026-04-30,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202604_20260430_20260810_120257.html,2026-08-10T12:00:20.084559+00:00
airline_nbs_demand,202604_20260430,National Bureau of Statistics,pmi,2026年4月中国采购经理指数运行情况,2026-04,https://www.stats.gov.cn/sj/zxfb/202604/t20260430_1963473.html,services_business_activity_index,服务业商务活动指数,49.6,pct,,national,2026-04-30,official_page_date,release_date_safe_observation,nbs_primary_official_release,"NBS monthly national-economy press release; aggregate macro demand regime context, not airline RPK/revenue.  Chinese-source labels retained; values as published.",/Users/henrywzh/Desktop/Quant/alternative-data/data/raw/hk_transport/airline_nbs_202604_20260430_20260810_120257.html,2026-08-10T12:00:20.084559+00:00
