dataset_id,company,ticker,period,target_year,row_status,ask_native_mn,target_revenue_native_mn,lf_prior,lf_normal,lf_shrink_lambda,yield_prior,yield_normal,yield_pressure_score,yield_modifier_delta_pct,recovery_overlay_active,revenue_base_decomposition_native_mn,revenue_dynamic_shrinkage_native_mn,revenue_residual_yield_native_mn,revenue_recovery_overlay_native_mn,error_base_decomposition_pct,error_dynamic_shrinkage_pct,error_residual_yield_pct,error_recovery_overlay_pct,retrieved_at
airline_earnings_model_v4,Air China,601111.SH,H2,2020,historical_evaluated,90496.2,39857.98299999999,0.8109669275850473,0.8109669275850473,0.9,0.5984974393881557,0.6112908113788903,-2.1298699309715197,-3.0,False,43923.38310353339,44017.27292530264,42696.75473754356,42696.75473754356,10.199713576909808,10.435274472626087,7.12221623844731,7.12221623844731,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,H2,2021,historical_evaluated,69871.3,36867.867,0.7250072378729714,0.8090146369612158,0.5,0.6074948941021545,0.6093928527405224,0.431013616338858,0.646520424508287,False,30773.989267923953,32607.755284595194,32818.57108248378,32818.57108248378,-16.52896743952137,-11.555080513350024,-10.98326604442893,-10.98326604442893,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,H2,2022,historical_evaluated,51914.0,28944.931000000004,0.6618210910631404,0.8070623463373843,0.5,0.7972758059179581,0.6112908113788903,-0.0142717677468246,-0.0214076516202369,False,27392.62683588254,26852.77833633972,26847.02978710312,26847.02978710312,-5.362956864942825,-7.228045089001189,-7.247905385909825,-7.247905385909825,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,H2,2023,historical_evaluated,163714.2,81487.041,0.6471703201448549,0.7660347921051778,0.5617169762348007,0.8615280737680523,0.6270867448820934,1.852935915672301,2.7794038735084516,False,91279.73615441308,86864.62739798866,89278.94621659703,89278.94621659703,12.017487730856601,6.599314850552318,9.562140336642045,9.562140336642045,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,H2,2024,historical_evaluated,184321.9,87178.54800000001,0.7533689808214559,0.7533689808214559,0.9,0.6606850244695032,0.6428826783852966,0.5610933214124681,0.8416399821187023,False,91744.30942763608,91497.10177388326,92267.1779648921,92267.1779648921,5.23725335232248,4.953688577014659,5.837020782787161,5.837020782787161,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,Air China,601111.SH,H2,2025,historical_evaluated,190060.7,90727.212,0.8035881791583095,0.7784785799898827,0.8214126992831712,0.5885713977081927,0.6270867448820934,-0.0045438588054339,-0.0068157882081508496,False,89892.82259928748,90435.86658427658,90429.70266714599,90429.70266714599,-0.9196682917055998,-0.32112241663881935,-0.32791631782316255,-0.32791631782316255,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,FY,2020,historical_evaluated,152070.93,58639.0,0.8200933738819637,0.8200933738819637,0.9,0.5455019536471382,0.5556270808840763,-1.9215193364202057,-2.882279004630308,False,68030.83714389776,68157.10999727841,66192.63192566407,66192.63192566407,16.0163664862937,16.231705856645597,12.88158380201585,12.88158380201585,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,FY,2021,historical_evaluated,160691.81,67127.0,0.7056019845476056,0.8152217374633085,0.5,0.5464879118707977,0.5510574963774371,0.4505029173604198,0.6757543760406296,False,61963.23680397036,67055.61137326356,67508.74260149918,67508.74260149918,-7.692527888971112,-0.10634860300093862,0.5686871177010389,0.5686871177010389,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,FY,2022,historical_evaluated,96179.65,46305.0,0.676994054644104,0.8103501010446533,0.5,0.6170475624934506,0.5556270808840763,0.1143007870456145,0.17145118056842173,False,40177.84954659481,41938.43372648492,42010.33766622088,42010.33766622088,-13.232157333776462,-9.43001030885452,-9.27472699228834,-9.27472699228834,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,FY,2023,historical_evaluated,244974.74,113788.0,0.6370536802743616,0.7579760427961295,0.5775702857844232,0.755733488271891,0.5638089193260685,1.5603988124617425,2.3405982186926138,False,117941.32475736811,113731.06260777135,116393.04983326902,116393.04983326902,3.650055152887921,-0.05003813427483239,2.2893888927382644,2.2893888927382644,2026-08-10T21:05:59.950266+00:00
