date,series_id,metric,index_value,source_agency,yield_pct,yield_bp,delta_bp_1m,delta_bp_12m,ip_reval_pre_tax_hkdm,ip_reval_calibrated_hkdm,eps_impact_hkd
2007-03-01,overall,rental_yield,4.580953,Centaline Property Agency,4.580953,458.0953,3.531059999999968,24.661500000000046,-865.927419157887,-363.6895160463125,-0.04799111116156536
2007-04-01,overall,rental_yield,4.603483,Centaline Property Agency,4.603483,460.3483,2.252999999999986,21.052250000000015,-552.5067473684176,-232.05283389473536,-0.030620825884297362
2007-05-01,overall,rental_yield,4.6271434,Centaline Property Agency,4.6271434,462.71433999999994,2.3660399999999413,22.70863999999989,-580.2277250526172,-243.6956445220992,-0.032157167720941675
2007-06-01,overall,rental_yield,4.5929613,Centaline Property Agency,4.5929613,459.29613,-3.418209999999931,11.332700000000045,838.2530354736673,352.06627489894026,0.046457351640462774
2007-07-01,overall,rental_yield,4.602459,Centaline Property Agency,4.602459,460.24589999999995,0.949769999999944,7.754799999999932,-232.9135967368284,-97.82371062946793,-0.012908451753274557
2007-08-01,overall,rental_yield,4.6155553,Centaline Property Agency,4.6155553,461.55553,1.309630000000027,7.455680000000029,-321.1626327368487,-134.88830574947644,-0.017799357391412973
2007-09-01,overall,rental_yield,4.614279,Centaline Property Agency,4.614279,461.42789999999997,-0.12763000000001057,0.3000999999999294,31.29890642105522,13.145540696843193,0.001734636488066232
2007-10-01,overall,rental_yield,4.600521,Centaline Property Agency,4.600521,460.05209999999994,-1.3758000000000266,-4.434100000000058,337.38960631579596,141.7036346526343,0.01869868275704278
2007-11-01,overall,rental_yield,4.49855,Centaline Property Agency,4.49855,449.85499999999996,-10.197099999999978,-7.4249000000000365,2500.6509336842046,1050.273392147366,0.13859015695728802
2007-12-01,overall,rental_yield,4.34798,Centaline Property Agency,4.34798,434.798,-15.05699999999996,-25.69722999999999,3692.4518842105163,1550.8297913684169,0.20464171120278166
2008-01-01,overall,rental_yield,4.2397876,Centaline Property Agency,4.2397876,423.97875999999997,-10.819240000000036,-31.299240000000054,2653.2193082105355,1114.352109448425,0.147045745335299
2008-02-01,overall,rental_yield,4.1567698,Centaline Property Agency,4.1567698,415.67698,-8.301779999999951,-38.887260000000026,2035.8586174736722,855.0606193389423,0.11283060803805693
2008-03-01,overall,rental_yield,4.1911664,Centaline Property Agency,4.1911664,419.11664,3.4396600000000035,-38.97865999999999,-843.5132528421062,-354.2755661936846,-0.046748881474115864
2008-04-01,overall,rental_yield,4.3980613,Centaline Property Agency,4.3980613,439.80613,20.689489999999978,-20.54217,-5073.716300315784,-2130.9608461326293,-0.28119364000218144
2008-05-01,overall,rental_yield,4.320491,Centaline Property Agency,4.320491,432.04909999999995,-7.757030000000043,-30.665239999999983,1902.268714842116,798.9528602336886,0.10542683755404972
2008-06-01,overall,rental_yield,4.357118,Centaline Property Agency,4.357118,435.7118,3.6627000000000294,-23.584330000000023,-898.2097042105336,-377.2480757684241,-0.04978024809872062
2008-07-01,overall,rental_yield,4.389474,Centaline Property Agency,4.389474,438.9474,3.2356000000000336,-21.298499999999933,-793.4712968421135,-333.25794467368763,-0.04397547458110705
